Assembly Accession	Assembly Name	Organism Name	Annotation Count Gene Total
GCF_004117055.1	ASM411705v1	Brevibacillus agri	5326
GCF_037935975.1	ASM3793597v1	Teredinibacter turnerae	4295
GCF_000164865.1	ASM16486v1	[Enterobacter] lignolyticus SCF1	4554
GCF_020735925.1	ASM2073592v1	Bordetella parapertussis	4518
GCF_001441165.1	ASM144116v1	Acidipropionibacterium acidipropionici	3383
GCF_001547995.1	ASM154799v1	Asaia bogorensis NBRC 16594	2831
GCF_016127955.1	ASM1612795v1	Actinomyces oris	2675
GCF_010669225.1	ASM1066922v1	Megamonas funiformis	2577
GCF_001457555.1	NCTC10562	Fusobacterium polymorphum	2396
GCF_010669245.1	ASM1066924v1	Lactococcus raffinolactis	2300
GCF_013372225.1	ASM1337222v1	Campylobacter ureolyticus	1851
GCF_001267885.1	ASM126788v1	Streptomyces ambofaciens ATCC 23877	7510
GCF_013009555.1	ASM1300955v1	Phocaeicola dorei	4645
GCF_025146565.1	ASM2514656v1	Bacteroides eggerthii	3462
GCF_000012925.1	ASM1292v1	Geobacter metallireducens GS-15	3676
GCF_000511385.1	ASM51138v1	Phaeobacter gallaeciensis DSM 26640	4392
GCF_023920225.1	ASM2392022v1	Vibrio gazogenes	4184
GCF_025150245.1	ASM2515024v1	Dorea formicigenerans	3116
GCF_900638015.1	54984_A01	Listeria grayi	2747
GCF_000208405.1	ASM20840v1	Selenomonas sputigena ATCC 35185	2385
GCF_016127255.1	ASM1612725v1	Leuconostoc pseudomesenteroides	2129
GCF_000195915.1	ASM19591v1	Thermoplasma acidophilum DSM 1728	1605
GCF_016026575.1	ASM1602657v1	Fannyhessea vaginae	1205
GCF_000013145.1	ASM1314v1	Ehrlichia chaffeensis str. Arkansas	974
GCF_000008305.1	ASM830v1	Mesoplasma florum L1	726
GCF_024298965.1	ASM2429896v1	Streptomyces rapamycinicus NRRL 5491	10327
GCF_000981585.1	SBR5(T)	Paenibacillus riograndensis SBR5	6819
GCF_000010665.1	ASM1066v1	Solidesulfovibrio magneticus RS-1	4716
GCF_001742185.1	ASM174218v1	Pectobacterium wasabiae CFBP 3304	4681
GCF_000017305.1	ASM1730v1	Kineococcus radiotolerans SRS30216 = ATCC BAA-149	4765
GCF_000020125.1	ASM2012v1	Paraburkholderia phytofirmans PsJN	7436
GCF_000317675.1	ASM31767v1	Cyanobacterium aponinum PCC 10605	3600
GCF_900637655.1	52295_B01	Segatella oris	2644
GCF_000172995.2	ASM17299v2	Halogeometricum borinquense DSM 11551	3940
GCF_000600005.1	ASM60000v1	Snodgrassella alvi wkB2	2298
GCF_030408375.1	ASM3040837v1	Corynebacterium afermentans subsp. lipophilum	2249
GCF_004803815.1	ASM480381v1	Campylobacter showae	2084
GCF_001025155.1	ASM102515v1	Bifidobacterium angulatum DSM 20098 = JCM 7096	1643
GCF_016127275.1	ASM1612727v1	Streptococcus infantarius	2022
GCF_001655245.1	ASM165524v1	Mycolicibacterium vaccae 95051	5960
GCF_000212695.1	ASM21269v1	Cellulomonas fimi ATCC 484	3864
GCF_000284615.1	ASM28461v1	Marinobacter nauticus ATCC 49840	3681
GCF_000020385.1	ASM2038v1	Trichlorobacter lovleyi SZ	3748
GCF_002310855.1	ASM231085v1	Pseudoalteromonas agarivorans DSM 14585	4112
GCF_025147765.1	ASM2514776v1	Blautia obeum ATCC 29174	3503
GCF_000091125.1	ASM9112v1	Sphingobium indicum UT26S	4256
GCF_025149785.1	ASM2514978v1	Coprococcus comes ATCC 27758	3283
GCF_002097715.1	ASM209771v1	Burkholderia ubonensis subsp. mesacidophila	7195
GCF_000024845.1	ASM2484v1	Rhodothermus marinus DSM 4252	2975
GCF_000024285.1	ASM2428v1	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	3216
GCF_000008465.1	ASM846v1	Idiomarina loihiensis L2TR	2719
GCF_000022205.1	ASM2220v1	Halorubrum lacusprofundi ATCC 49239	3688
GCF_000023285.1	ASM2328v1	Capnocytophaga ochracea DSM 7271	2251
GCF_000164695.2	ASM16469v2	Rothia dentocariosa ATCC 17931	2155
GCF_002715865.1	ASM271586v1	Bifidobacterium asteroides DSM 20089	1755
GCF_013372165.1	ASM1337216v1	Campylobacter hyointestinalis subsp. lawsonii	1885
GCF_000015445.1	ASM1544v1	Bartonella bacilliformis KC583	1267
GCF_001027285.1	ASM102728v1	Archangium gephyra	10001
GCF_042466515.1	ASM4246651v1	Streptomyces iranensis	10014
GCF_008704795.1	ASM870479v1	Streptomyces spectabilis	8279
GCF_014673495.1	ASM1467349v1	Streptomyces griseofuscus	8257
GCF_019933235.1	ASM1993323v1	Streptomyces angustmyceticus	7113
GCF_016906185.1	ASM1690618v1	Streptomyces californicus	7047
GCF_013389765.1	ASM1338976v1	Micromonospora carbonacea	6386
GCF_012767755.2	ASM1276775v2	Pseudomonas tohonis	6222
GCF_002762215.1	ASM276221v1	Piscinibacter gummiphilus	5955
GCF_900187205.1	52191_D01	Pandoraea sputorum	5083
GCF_001584145.1	ASM158414v1	Collimonas fungivorans	5062
GCF_010731695.1	ASM1073169v1	Mycolicibacterium litorale	5404
GCF_000973105.1	ASM97310v1	Zobellia galactanivorans	4507
GCF_001658025.2	ASM165802v2	Kosakonia oryzae	5160
GCF_002356315.1	ASM235631v1	Mycobacterium shigaense	4965
GCF_021462285.1	ASM2146228v1	Serratia entomophila	4919
GCF_034554815.1	ASM3455481v1	Rhizobium indigoferae	7426
GCF_018075365.1	ASM1807536v1	Virgibacillus pantothenticus	4423
GCF_019977755.1	ASM1997775v1	Vibrio penaeicida	6034
GCF_019931045.1	ASM1993104v1	Cupriavidus pauculus	5999
GCF_000012945.1	ASM1294v1	Burkholderia lata	7875
GCF_003367705.1	ASM336770v1	Microbacterium foliorum	3389
GCF_000975265.2	ASM97526v2	Mycobacterium lepromatosis	3115
GCF_000599985.1	ASM59998v1	Gilliamella apicola	2840
GCF_900005615.1	JCM7685	Paracoccus aminovorans	3953
GCF_020162115.1	ASM2016211v1	Tepidimonas taiwanensis	2762
GCF_003860565.1	ASM386056v1	Cloacibacterium normanense	2544
GCF_000011345.1	ASM1134v1	Thermosynechococcus vestitus BP-1	2546
GCF_003012915.1	ASM301291v1	Staphylococcus felis	2372
GCF_016028295.1	ASM1602829v1	Staphylococcus auricularis	2135
GCF_002080395.1	ASM208039v1	Campylobacter helveticus	2028
GCF_003194085.1	ASM319408v1	Aurantimicrobium photophilum	1763
GCF_001761545.1	ASM176154v1	Weissella soli	1634
GCF_033546855.1	ASM3354685v1	Metamycoplasma equirhinis	616
GCF_901482695.1	45076_G02	Sphingobacterium thalpophilum	5104
GCF_000014885.1	ASM1488v1	Shewanella piezotolerans WP3	4627
GCF_000017845.1	ASM1784v1	Crocosphaera subtropica ATCC 51142	5093
GCF_019048065.1	ASM1904806v1	Citrobacter farmeri	4721
GCF_019669905.1	ASM1966990v1	Methylomonas koyamae	4588
GCF_000968535.2	ASM96853v1	Methylotuvimicrobium alcaliphilum 20Z	4100
GCF_001562195.1	ASM156219v1	Alteromonas stellipolaris	3984
GCF_000016065.1	ASM1606v1	Shewanella loihica PV-4	4038
GCF_003860345.1	ASM386034v1	Caenibius tardaugens NBRC 16725	4126
GCF_016726985.1	ASM1672698v1	Myroides odoratus	3799
GCF_022674245.1	ASM2267424v1	Alicyclobacillus acidoterrestris	4367
GCF_029094545.1	ASM2909454v1	Alkalihalophilus pseudofirmus	4391
GCF_016894385.1	ASM1689438v1	Cupriavidus oxalaticus	6095
GCF_024347415.1	ASM2434741v1	Vibrio crassostreae	5204
GCF_001687585.2	ASM168758v2	Planococcus halocryophilus	3390
GCF_038452265.1	ASM3845226v1	Vibrio diazotrophicus	4402
GCF_024347635.1	ASM2434763v1	Vibrio tasmaniensis	4449
GCF_030408675.1	ASM3040867v1	Corynebacterium durum	2586
GCF_900478045.1	47555_C02	Corynebacterium minutissimum	2505
GCF_013377235.1	ASM1337723v1	Mannheimia varigena	2012
GCF_016127475.1	ASM1612747v1	Anaerococcus vaginalis	1797
GCF_900475675.1	45473_D02	Streptococcus lutetiensis	1828
GCF_018394055.1	ASM1839405v1	Weissella ceti	1577
GCF_900637185.1	49867_H01	Nocardia asteroides	6485
GCF_003719195.1	ASM371919v1	Herbaspirillum rubrisubalbicans	5037
GCF_000445445.2	SOV	Sporomusa ovata DSM 2662	5357
GCF_000473995.1	ASM47399v1	Clostridium saccharobutylicum DSM 13864	4538
GCF_000143685.1	ASM14368v1	Clostridium ljungdahlii DSM 13528	4337
GCF_000022025.1	ASM2202v1	Pseudarthrobacter chlorophenolicus A6	4734
GCF_041222865.1	ASM4122286v1	Cronobacter turicensis	4329
GCF_001955735.1	ASM195573v1	Rhodoferax antarcticus	3977
GCF_001444405.1	ASM144440v1	Pseudoalteromonas phenolica	4325
GCF_001050115.1	ASM105011v1	Bacillus smithii	3167
GCF_007970465.1	ASM797046v1	Corynebacterium nuruki S6-4	2889
GCF_024362345.1	ASM2436234v1	Polaribacter dokdonensis	2793
GCF_000019905.1	ASM1990v1	Exiguobacterium sibiricum 255-15	3159
GCF_016724805.1	ASM1672480v1	Sutterella wadsworthensis	2480
GCF_000196895.1	ASM19689v1	Halalkalicoccus jeotgali B3	3925
GCF_036323475.1	ASM3632347v1	Solobacterium moorei	2611
GCF_000698785.1	ASM69878v1	Nitrososphaera viennensis EN76	3001
GCF_900187235.1	52184_D01	Corynebacterium urealyticum	2075
GCF_001543285.1	ASM154328v1	Aerococcus viridans	2067
GCF_000724605.1	ASM72460v1	Actinotignum schaalii	1816
GCF_900637515.1	51184_A01	Veillonella dispar	1982
GCF_013372125.1	ASM1337212v1	Campylobacter curvus	1982
GCF_000091665.1	ASM9166v1	Methanocaldococcus jannaschii DSM 2661	1907
GCF_000018465.1	ASM1846v1	Nitrosopumilus maritimus SCM1	1973
GCF_000012085.2	ASM1208v2	Borrelia turicatae 91E135	1139
GCF_000018105.1	ASM1810v1	Acaryochloris marina MBIC11017	7655
GCF_025148125.1	ASM2514812v1	Blautia wexlerae DSM 19850	4431
GCF_002009335.2	ASM200933v2	Desulfococcus multivorans	3909
GCF_024918935.1	ASM2491893v1	Polaribacter sejongensis	3660
GCF_900187175.1	51342_A02	Odoribacter splanchnicus	3711
GCF_000021325.1	ASM2132v1	Gluconacetobacter diazotrophicus PA1 5	3710
GCF_000197735.1	ASM19773v1	Glutamicibacter arilaitensis Re117	3700
GCF_033096465.1	ASM3309646v1	Blautia luti	3479
GCF_000013025.1	ASM1302v1	Hyphomonas neptunium ATCC 15444	3565
GCF_000218565.1	ASM21856v1	Afipia carboxidovorans OM5	3747
GCF_000225345.1	ASM22534v1	Roseburia hominis A2-183	3351
GCF_034356035.1	ASM3435603v1	Blautia hydrogenotrophica DSM 10507	3450
GCF_022453685.1	ASM2245368v1	Agathobacter rectalis	3383
GCF_000182745.2	ASM18274v1	Komagataeibacter medellinensis NBRC 3288	3388
GCF_000009365.1	ASM936v1	Alcanivorax borkumensis SK2	2833
GCF_000024425.1	ASM2442v1	Meiothermus ruber DSM 1279	3125
GCF_025150085.1	ASM2515008v1	Dorea longicatena	2803
GCF_003722315.1	ASM372231v1	Thermoanaerobacter ethanolicus JW 200	2899
GCF_000022905.1	ASM2290v1	Corynebacterium aurimucosum ATCC 700975	2664
GCF_001941425.1	ASM194142v1	Corynebacterium ammoniagenes DSM 20306	2547
GCF_000007225.1	ASM722v1	Pyrobaculum aerophilum str. IM2	2642
GCF_000092785.1	ASM9278v1	Waddlia chondrophila WSU 86-1044	1935
GCF_000196855.1	ASM19685v1	Leuconostoc gasicomitatum LMG 18811	1976
GCF_001042675.1	ASM104267v1	Parascardovia denticolens DSM 10105 = JCM 12538	1599
GCF_000331735.1	ASM33173v1	Myxococcus stipitatus DSM 14675	8123
GCF_000255295.1	ASM25529v1	Corallococcus coralloides DSM 2259	8155
GCF_000024005.1	ASM2400v1	Chitinophaga pinensis DSM 2588	7213
GCF_003711105.1	ASM371110v1	Actinoplanes teichomyceticus ATCC 31121	7294
GCF_000300005.1	ASM30000v1	Alloalcanivorax dieselolei B5	4473
GCF_001887595.1	ASM188759v1	Luteibacter rhizovicinus DSM 16549	4379
GCF_000023865.1	ASM2386v1	Saccharomonospora viridis DSM 43017	3956
GCF_000184685.1	ASM18468v1	Intrasporangium calvum DSM 43043	3703
GCF_000355675.1	ASM35567v1	Thalassolituus oleivorans MIL-1	3606
GCF_000190595.1	ASM19059v1	Cellulophaga lytica DSM 7489	3343
GCF_000202835.1	ASM20283v1	Acidiphilium multivorum AIU301	4017
GCF_000017685.1	ASM1768v1	Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)'	3717
GCF_000012725.1	ASM1272v1	Nitrobacter winogradskyi Nb-255	3195
GCF_000023965.1	ASM2396v1	Halomicrobium mukohataei DSM 12286	3448
GCF_030770335.1	ASM3077033v1	Lacticaseibacillus zeae subsp. silagei	2834
GCF_025148965.1	ASM2514896v1	Intestinibacter bartlettii	2785
GCF_000739435.1	ASM73943v1	Actinobacillus suis ATCC 33415	2342
GCF_000235405.2	ASM23540v3	Fervidobacterium pennivorans DSM 9078	2051
GCF_000016345.1	ASM1634v1	Polynucleobacter asymbioticus QLW-P1DMWA-1	2176
GCF_003544835.1	ASM354483v1	Aliarcobacter skirrowii CCUG 10374	2050
GCF_028751035.1	ASM2875103v1	Helicobacter winghamensis ATCC BAA-430	1736
GCF_000024565.1	ASM2456v1	Streptobacillus moniliformis DSM 12112	1570
GCF_002139935.1	ASM213993v1	Campylobacter lanienae NCTC 13004	1645
GCF_000284075.1	ASM28407v1	Rickettsia rhipicephali str. 3-7-female6-CWPP	1538
GCF_015291705.1	ASM1529170v1	Bradyrhizobium arachidis	9378
GCF_000830005.1	ASM83000v1	Streptomyces vietnamensis	8292
GCF_033406955.1	ASM3340695v1	Streptomyces violaceoruber	7779
GCF_037414505.1	Str_netropsis_B-235_v1	Streptomyces netropsis	7027
GCF_008704995.1	ASM870499v1	Streptomyces nodosus	6894
GCF_006716135.1	ASM671613v1	Streptomyces calvus	6642
GCF_009299385.1	ASM929938v1	Streptomyces cinereoruber	6780
GCF_003945385.1	ASM394538v1	Pseudonocardia autotrophica	7127
GCF_027942015.1	ASM2794201v1	Streptomyces goshikiensis	7266
GCF_003428925.1	ASM342892v1	Streptomyces koyangensis	6358
GCF_008932115.1	ASM893211v1	Bradyrhizobium betae	7142
GCF_001661075.1	ASM166107v1	Pseudomonas silesiensis	6214
GCF_000758725.1	ASM75872v1	Paenibacillus odorifer	6049
GCF_003614435.1	ASM361443v1	Mycobacterium paragordonae	6516
GCF_014268495.2	ASM1426849v2	Pseudomonas monsensis	5721
GCF_001594225.2	ASM159422v2	Pseudomonas glycinae	5859
GCF_003352185.1	ASM335218v1	Pseudomonas kribbensis	5786
GCF_002355475.1	ASM235547v1	Metapseudomonas furukawaii	5828
GCF_034355335.1	ASM3435533v1	Blautia coccoides	5452
GCF_008807375.1	ASM880737v1	Metapseudomonas lalkuanensis	5581
GCF_002240415.1	ASM224041v1	Paenibacillus kribbensis	5183
GCF_026651875.1	ASM2665187v1	Alicyclobacillus fastidiosus	5943
GCF_001605725.1	ASM160572v1	Mycobacteroides immunogenum	5538
GCF_003574835.2	ASM357483v2	Thermobifida halotolerans	4872
GCF_008728195.1	ASM872819v1	Roseovarius indicus	6061
GCF_002291445.1	ASM229144v1	Brenneria goodwinii	4758
GCF_037948395.1	ASM3794839v1	Serratia nevei	5218
GCF_021495345.1	ASM2149534v2	Ectopseudomonas hydrolytica	4985
GCF_006711645.1	ASM671164v1	Klebsiella electrica	5602
GCF_001314325.1	ASM131432v1	Sphingopyxis macrogoltabida	5640
GCF_003258315.1	ASM325831v1	Bradymonas sediminis	3800
GCF_000463345.2	ASM46334v3	Prodigiosinella confusarubida	4519
GCF_019047765.1	ASM1904776v1	Citrobacter pasteurii	4871
GCF_007995155.1	ASM799515v1	Cytobacillus dafuensis	4682
GCF_020181655.1	ASM2018165v1	Pectobacterium colocasium	4440
GCF_900635955.1	36672_A01	Cedecea lapagei	4613
GCF_000695095.2	ASM69509v2	Gemmatimonas phototrophica	3968
GCF_018736065.1	ASM1873606v1	Flammeovirga kamogawensis	5394
GCF_017352135.1	ASM1735213v1	Rhizobium lentis	6289
GCF_017357225.1	ASM1735722v1	Rhizobium binae	6842
GCF_028877475.1	ASM2887747v1	Lysinibacillus irui	4740
GCF_001577305.1	ASM157730v1	Sinomonas atrocyanea	4222
GCF_028553805.1	ASM2855380v1	Paracoccus saliphilus	4447
GCF_002770595.1	ASM277059v1	Chryseobacterium camelliae	4013
GCF_008000775.2	ASM800077v2	Promethearchaeum syntrophicum	3933
GCF_002101395.1	ASM210139v1	Pantoea alhagi	4100
GCF_021165935.1	ASM2116593v1	Microbulbifer elongatus	3468
GCF_000833025.1	ASM83302v1	Myroides profundi	3638
GCF_902502825.2	E03_1.v3	Pseudorhizobium flavum	4624
GCF_022647325.1	ASM2264732v1	Pantoea deleyi	4365
GCF_012427705.1	ASM1242770v1	Vreelandella piezotolerans	3655
GCF_001302565.1	ASM130256v1	Glutamicibacter halophytocola	3658
GCF_038024855.1	MTun	Methylocella tundrae	4034
GCF_003096095.1	ASM309609v1	Dietzia psychralcaliphila	3651
GCF_015476235.1	ASM1547623v1	Caldimonas thermodepolymerans	3664
GCF_002872415.1	ASM287241v1	Bacteriovorax stolpii	3809
GCF_019343455.1	ASM1934345v1	Alcaligenes ammonioxydans	3450
GCF_002224645.1	ASM222464v1	Dehalobacterium formicoaceticum	3650
GCF_028751525.1	ASM2875152v1	Alicyclobacillus cycloheptanicus	3459
GCF_002844395.1	ASM284439v1	Acetivibrio saccincola	3323
GCF_013283835.1	ASM1328383v1	Poseidonibacter lekithochrous	3442
GCF_036323495.1	ASM3632349v1	Limnobacter thiooxidans	3224
GCF_002906655.1	ASM290665v1	Vibrio hyugaensis	5032
GCF_024347475.1	ASM2434747v1	Vibrio fortis	4649
GCF_000355765.4	ASM35576v4	Nitrosospira lacus	2929
GCF_000069225.1	ASM6922v1	Clavibacter sepedonicus	3311
GCF_030408755.1	ASM3040875v1	Corynebacterium felinum	2732
GCF_045061075.1	ASM4506107v1	Sellimonas intestinalis	3138
GCF_004154955.1	ASM415495v1	Intestinimonas butyriciproducens	3252
GCF_038024125.1	ASM3802412v1	Polaribacter gangjinensis	2589
GCF_003966655.1	ASM396665v1	Acidithiobacillus ferridurans	3039
GCF_003544855.1	ASM354485v1	Malaciobacter marinus	2847
GCF_013177435.1	ASM1317743v1	Xylella taiwanensis	2409
GCF_001187595.1	ASM118759v1	Anoxybacillus gonensis	2988
GCF_003966915.1	ASM396691v1	Mycoavidus cysteinexigens	2416
GCF_004564075.1	ASM456407v1	Microbacterium sediminis	2829
GCF_003795145.1	ASM379514v1	Tetragenococcus koreensis	2640
GCF_001685435.2	ASM168543v3	Salimicrobium jeotgali	2843
GCF_000807275.1	ASM80727v1	Frischella perrara	2342
GCF_900637235.1	50305_D01	Staphylococcus condimenti	2583
GCF_003019255.1	ASM301925v1	Staphylococcus kloosii	2656
GCF_030408435.1	ASM3040843v1	Corynebacterium auriscanis	2206
GCF_042926695.1	ACM3666	Lonepinella koalarum	2494
GCF_030408395.1	ASM3040839v1	Corynebacterium aquatimens	2247
GCF_000980815.1	ASM98081v1	Corynebacterium camporealensis	2312
GCF_014058425.1	ASM1405842v1	Companilactobacillus pabuli	2438
GCF_900478035.1	47555_E02	Corynebacterium renale	2205
GCF_013201625.1	ASM1320162v1	Aliarcobacter lanthieri	2288
GCF_003609975.1	ASM360997v1	Streptococcus ruminantium	1954
GCF_011387195.1	ASM1138719v1	Streptococcus ruminicola	2057
GCF_014397255.1	ASM1439725v1	Weissella diestrammenae	1658
GCF_001687475.2	ASM168747v2	Campylobacter hepaticus	1539
GCF_000699505.1	ASM69950v1	Rhodoluna lacicola	1414
GCF_001305595.1	ASM130559v1	Azospirillum thiophilum	6763
GCF_024498275.1	ASM2449827v1	Mycoplasmoides fastidiosum	873
GCF_900660515.1	50766_E01-3	Mycoplasmopsis bovirhinis	793
GCF_014701115.1	ASM1470111v1	Streptomyces aurantiacus	8211
GCF_003149495.1	ASM314949v1	Gemmata obscuriglobus	7428
GCF_002263495.1	ASM226349v1	Nocardiopsis gilva YIM 90087	5549
GCF_001936175.1	ASM193617v1	Methylobacterium phyllosphaerae	5843
GCF_018966525.1	ASM1896652v1	Paenibacillus sophorae	5749
GCF_000009265.1	ASM926v1	Rhizobium johnstonii 3841	7503
GCF_000009985.1	ASM998v1	Paramagnetospirillum magneticum AMB-1	4763
GCF_009769165.1	ASM976916v1	Xanthomonas hyacinthi	4388
GCF_008931805.1	ASM893180v1	Moritella marina ATCC 15381	4295
GCF_900187125.1	50592_G01	Sphingobacterium mizutaii	3968
GCF_041549525.1	P_aurescens_B2879	Paenarthrobacter aurescens	4051
GCF_031165565.1	ASM3116556v1	Natrinema thermotolerans	4578
GCF_900475855.1	46338_B02	Providencia heimbachae	3904
GCF_001955715.1	ASM195571v1	Rhodoferax saidenbachensis	4057
GCF_000968195.1	ASM96819v1	Xenorhabdus doucetiae	3740
GCF_004124315.2	ASM412431v2	Bacillus cabrialesii	4221
GCF_002214645.1	ASM221464v1	Diaphorobacter nitroreducens	3822
GCF_009646115.1	ASM964611v1	Pantoea eucalypti	4504
GCF_000767465.1	ASM76746v1	Novosphingobium pentaromativorans US6-1	5174
GCF_000230715.2	ASM23071v3	Natronobacterium gregoryi SP2	3765
GCF_003010915.2	ASM301091v2	Gulosibacter molinativorax	3277
GCF_041295575.1	ASM4129557v1	Sporosarcina pasteurii	3213
GCF_022788655.1	ASM2278865v1	Sulfitobacter indolifex	4381
GCF_002902965.1	ASM290296v1	Paraburkholderia hospita	10535
GCF_024347535.1	ASM2434753v1	Vibrio kanaloae	4143
GCF_002902925.1	ASM290292v1	Paraburkholderia terrae	9021
GCF_019047805.1	ASM1904780v1	Corynebacterium freneyi	2566
GCF_003444775.1	ASM344477v1	Deinococcus ficus	4050
GCF_013340845.1	ASM1334084v1	Hydrogenovibrio marinus	2365
GCF_000196275.1	ASM19627v1	Deinococcus geothermalis DSM 11300	3172
GCF_023520795.1	ASM2352079v1	Corynebacterium accolens	2327
GCF_000195975.1	ASM19597v1	Parasynechococcus marenigrum WH 8102	2712
GCF_900638305.1	57043_C01	Porphyromonas cangingivalis	2013
GCF_014770185.1	ASM1477018v1	Rathayibacter toxicus	2200
GCF_016110345.1	ASM1611034v1	Fluviibacter phosphoraccumulans	2304
GCF_030408415.1	ASM3040841v1	Corynebacterium appendicis CIP 107643	2238
GCF_000504105.1	ASM50410v1	Pseudothermotoga hypogea DSM 11164 = NBRC 106472	2155
GCF_900476255.1	53750_A02	Porphyromonas crevioricanis	1794
GCF_900475415.1	42206_H01	Streptococcus porcinus	2028
GCF_900475915.1	48128_H02	Arcanobacterium haemolyticum	1865
GCF_016726485.1	ASM1672648v1	Peptoniphilus harei	1831
GCF_027554905.1	ASM2755490v1	Methanothermobacter thermautotrophicus	1863
GCF_000164905.1	ASM16490v1	Hydrogenobacter thermophilus TK-6	1957
GCF_001029265.1	ASM102926v1	Spiroplasma eriocheiris	1274
GCF_000017945.1	ASM1794v1	Ignicoccus hospitalis KIN4/I	1531
GCF_003285065.1	ASM328506v1	Mycoplasmopsis anatis	843
GCF_900476125.1	50861_F01	Metamycoplasma alkalescens	698
GCF_900660695.1	57612_E01-3	Mycoplasmopsis meleagridis	563
GCF_027497475.1	ASM2749747v1	Streptomyces libani subsp. libani	7936
GCF_002305895.1	ASM230589v1	Corallococcus macrosporus DSM 14697	7344
GCF_008298035.1	ASM829803v1	Gimesia maris	5912
GCF_000756615.1	ASM75661v1	Paenibacillus durus	5487
GCF_000237085.1	ASM23708v1	Acetivibrio clariflavus DSM 19732	4222
GCF_000013645.1	ASM1364v1	Paraburkholderia xenovorans LB400	8858
GCF_000018685.1	ASM1868v1	Lachnoclostridium phytofermentans ISDg	4134
GCF_000192865.1	ASM19286v1	Marinomonas mediterranea MMB-1	4306
GCF_002043005.1	ASM204300v1	Martelella mediterranea DSM 17316	5310
GCF_000300235.2	ASM30023v2	Thalassospira xiamenensis M-5 = DSM 17429	4414
GCF_001277175.1	ASM127717v1	Cronobacter universalis NCTC 9529	4218
GCF_000340435.2	ASM34043v3	Mycobacterium haemophilum DSM 44634	4042
GCF_001951155.1	ASM195115v1	Christiangramia flava JLT2011	3574
GCF_000236665.1	ASM23666v1	Azospira oryzae PS	3581
GCF_016026395.1	ASM1602639v1	Edwardsiella hoshinae	3542
GCF_000800395.1	ASM80039v1	Deinococcus radiopugnans	3384
GCF_000025485.1	ASM2548v1	Allochromatium vinosum DSM 180	3351
GCF_030296935.1	ASM3029693v1	Coprobacter fastidiosus	2737
GCF_000210915.2	ASM21091v2	Halobacteriovorax marinus SJ	3325
GCF_000014185.1	ASM1418v1	Rubrobacter xylanophilus DSM 9941	3325
GCF_900637555.1	51726_E01	Lautropia mirabilis	2605
GCF_001042635.1	ASM104263v1	Bifidobacterium scardovii JCM 12489 = DSM 13734	2603
GCF_000011305.1	ASM1130v1	Corynebacterium efficiens YS-314	2958
GCF_900187295.1	52191_E01	Corynebacterium cystitidis	2848
GCF_000331995.1	ASM33199v1	Thermoclostridium stercorarium subsp. stercorarium DSM 8532	2637
GCF_030440595.1	ASM3044059v1	Corynebacterium glucuronolyticum DSM 44120	2613
